feature,class_label
"[-6.0586462e+02  6.1168282e+01  5.7432714e+00  5.8524098e+00
 -3.4932499e+00  1.0471157e+00 -1.5865313e+01 -4.5834928e+00
 -1.8569019e+01 -1.0358323e+01 -1.7946596e+01 -6.3921094e+00
  1.1898599e+00 -1.0105373e+01 -5.3753883e-01 -9.7189131e+00
 -7.0697899e+00 -4.5482302e+00 -4.9883997e-01 -8.5416880e+00
 -5.7254443e+00  1.3772137e+00 -1.1845609e+01  3.2180592e-01
 -4.1434040e+00 -7.4391379e+00 -2.6587296e+00 -5.1894865e+00
  8.4714711e-01 -3.2464824e+00 -1.7288631e+00 -3.9000146e-02
 -1.9805812e+00  2.3496808e-01 -3.7429875e-01 -2.6327047e+00
  1.6617696e+00  7.1710199e-01  5.0019951e+00  5.4618773e+00]",1
"[-5.9635431e+02  5.4545246e+01  7.6256628e+00  4.4344106e+00
 -2.6914015e+00  2.9954479e+00 -1.2892098e+01 -2.9377983e+00
 -1.7687338e+01 -9.2804251e+00 -1.5851938e+01 -6.9188843e+00
  4.2211642e+00 -9.0432673e+00  5.4347521e-01 -6.4434829e+00
 -5.8439074e+00 -5.6244049e+00 -4.6345109e-01 -8.1111860e+00
 -7.4876437e+00  1.6621730e+00 -1.0352583e+01  6.5224874e-01
 -4.0147195e+00 -6.0615864e+00 -2.9899342e+00 -3.3558745e+00
  2.1701815e+00 -2.4844208e+00  1.6000637e-01 -2.0065181e+00
 -1.6344795e+00 -3.7905579e+00 -2.9416468e+00  1.7104988e-01
 -1.6199055e-01  1.1822857e+00  6.7544526e-01  2.0406055e+00]",1
"[-6.2119421e+02  7.3983093e+01 -1.9172364e+00  2.2877443e-01
 -1.3657755e+00 -9.3967760e-01 -1.3777609e+01 -6.7697563e+00
 -1.9245535e+01 -1.0256958e+01 -1.9533499e+01 -6.9085517e+00
  1.2711215e+00 -9.8879642e+00  1.6874906e+00 -9.5401869e+00
 -6.7957463e+00 -5.8299518e+00 -3.3927522e+00 -7.6612239e+00
 -6.0429716e+00  4.6896231e-01 -1.2818899e+01  5.4267806e-01
 -2.6945407e+00 -7.0062704e+00 -2.1011283e+00 -6.0556269e+00
  1.5619231e+00 -3.8426447e+00 -6.4153570e-01  8.7661779e-01
 -1.7501079e+00  8.2305110e-01 -1.4767679e+00 -2.3678143e+00
 -4.2232718e+00 -1.1538844e+00  1.8603424e+00  4.1876078e+00]",1
"[-5.9169202e+02  5.1659939e+01  2.7570422e+00  1.0421053e+01
 -2.2121372e+00 -2.5843936e-01 -1.4193424e+01 -3.4631550e+00
 -1.9272060e+01 -1.0376564e+01 -1.5560839e+01 -6.4511900e+00
  4.3833238e-01 -1.0111067e+01  1.7640553e+00 -8.2071066e+00
 -5.8107386e+00 -6.3302479e+00  2.2279461e-01 -7.3102446e+00
 -8.2702532e+00  1.8284258e+00 -1.0535747e+01 -3.1203651e-01
 -5.4826007e+00 -7.6608634e+00 -2.4883857e+00 -3.1674008e+00
  2.5818138e+00  1.6451160e+00  3.1965451e+00 -4.4684115e-01
 -1.9797779e+00 -2.7605138e+00 -1.6344794e+00 -3.1713256e-01
  7.7681792e-01  1.8465527e+00  3.8344557e+00  3.7155912e+00]",1
"[-6.0713788e+02  6.2062752e+01  1.0531520e+00  6.7380061e+00
  4.6670102e-02 -2.7073321e+00 -1.1831014e+01 -4.7060952e+00
 -1.9944193e+01 -1.1257238e+01 -1.5344241e+01 -5.6596828e+00
  2.2828248e+00 -8.4770527e+00 -1.7035240e-01 -7.3410292e+00
 -5.4807858e+00 -6.0803504e+00  1.9875149e-01 -8.4393845e+00
 -7.0492296e+00  1.5841191e+00 -1.2474931e+01  3.1118140e-01
 -3.1518824e+00 -7.3654146e+00 -1.3496919e+00 -2.6586363e+00
  6.2324435e-01 -2.3943090e-01 -5.4825038e-01 -1.0895383e+00
 -2.3808384e+00 -5.2144089e+00 -3.2812939e+00 -2.7888279e+00
  9.7884226e-01  2.2945426e+00  4.0672588e+00  4.1075368e+00]",1
"[-6.1430835e+02  5.2880825e+01  3.8846962e+00  9.1710365e-01
 -4.1189756e+00 -6.4625883e-01 -1.0664306e+01 -5.1822300e+00
 -1.6558416e+01 -1.0639321e+01 -1.6671701e+01 -6.4057646e+00
  1.2494940e+00 -8.2473011e+00  1.3762398e-01 -6.6393523e+00
 -4.9398093e+00 -5.7212949e+00 -9.6046799e-01 -4.5608768e+00
 -4.3642073e+00  3.3751008e-01 -9.7735605e+00 -5.7909620e-01
 -3.2312467e+00 -6.8505368e+00 -2.6192918e+00 -1.3827924e+00
  1.7738569e+00  7.2420102e-01 -1.6631083e-01 -8.5503519e-01
 -8.8276130e-01 -2.5378802e+00 -1.6014956e+00 -1.2932734e+00
  9.0937185e-01  1.3944710e+00  4.1750283e+00  3.3795648e+00]",1
"[-6.7652612e+02  9.8594063e+01 -5.6330032e+00  4.7741032e+00
 -1.3809383e+00  3.3316116e+00 -1.5042811e+01 -2.6370354e+00
 -1.9375244e+01 -1.1344492e+01 -1.5857809e+01 -5.7820368e+00
 -9.3643844e-01 -8.6980753e+00 -2.6289039e+00 -7.1880474e+00
 -5.9866791e+00 -8.0564060e+00 -4.6376109e+00 -8.3415470e+00
 -6.7326322e+00 -2.6264389e+00 -1.1038146e+01 -2.8538005e+00
 -5.1002502e+00 -7.0486417e+00 -5.2023954e+00 -5.8252950e+00
 -1.2571585e+00 -5.8834424e+00 -4.8687935e+00 -4.2848611e+00
 -4.4539595e+00 -4.4569974e+00 -1.7271369e+00 -1.8525019e+00
 -4.1137788e-01 -3.1353977e+00  1.8413980e+00  3.6427071e+00]",1
"[-6.13145020e+02  6.27735672e+01  9.67258739e+00  3.84129691e+00
 -1.65508580e+00  1.01046287e-01 -1.21253147e+01 -3.91671586e+00
 -1.82424469e+01 -1.10910635e+01 -1.53008022e+01 -7.10996580e+00
  1.11840212e+00 -6.67557240e+00  9.23217177e-01 -6.32518959e+00
 -5.82459879e+00 -6.62858438e+00 -1.24826050e+00 -8.68216228e+00
 -6.67416763e+00  3.86655509e-01 -1.21605759e+01 -1.38905957e-01
 -3.30814576e+00 -7.18476248e+00 -3.48104405e+00 -3.43811655e+00
  4.34682518e-01 -3.63405275e+00 -1.61682713e+00 -3.84466481e+00
 -4.39234018e+00 -2.98788667e+00 -3.21320939e+00 -1.40293345e-01
  2.82350969e+00  2.49049902e+00  4.81271791e+00  2.79312062e+00]",1
"[-6.0860797e+02  6.1456879e+01  4.5670400e+00  5.1914520e+00
 -2.4862375e+00 -2.1238124e+00 -1.2360364e+01 -5.2436743e+00
 -1.5129793e+01 -1.1776082e+01 -1.6788479e+01 -4.9561319e+00
  3.3195585e-02 -7.8134174e+00  8.2259524e-01 -6.6125121e+00
 -5.9012241e+00 -5.9635363e+00 -2.1525997e-01 -7.1260018e+00
 -4.6296840e+00 -1.2872565e+00 -1.0898409e+01  5.7237530e-01
 -4.7792592e+00 -5.7962494e+00 -3.5347886e+00 -2.5822425e+00
  1.4394430e+00 -8.5490096e-01 -1.2166870e-01 -2.1960576e+00
 -1.7537011e+00 -3.7261794e+00 -2.8792543e+00 -8.7709886e-01
  1.7107459e+00  3.0166821e+00  5.1943483e+00  3.5410507e+00]",1
"[-6.0710046e+02  5.9792027e+01  1.6358564e+00  4.2604113e+00
 -1.4611914e+00 -3.5111842e+00 -9.9959993e+00 -6.6242304e+00
 -1.8767853e+01 -9.6846514e+00 -1.7057137e+01 -3.8558083e+00
  8.3566242e-01 -9.1748743e+00 -7.3540151e-01 -6.2582803e+00
 -5.8319592e+00 -5.4455962e+00 -9.9937701e-01 -9.3171778e+00
 -3.6499245e+00 -1.3108493e+00 -1.0337401e+01 -2.6736775e-01
 -4.8886781e+00 -5.2688446e+00 -4.4110856e+00  1.7525186e-01
  1.7604028e+00  1.1667211e+00  1.4213275e+00 -4.4916639e+00
 -2.3131671e+00 -4.8613210e+00 -1.6200097e-02  5.7537585e-01
  1.2583195e+00  8.3375680e-01  1.4376376e+00  4.1866250e+00]",1
